[2026-07-24 21:40:28] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam01_24-07-2026_21-40-28.jpg
[2026-07-24 21:40:28] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_24-07-2026_21-40-28.jpg
[2026-07-24 21:40:56] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam01_24-07-2026_21-40-56.jpg
[2026-07-24 21:40:56] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_24-07-2026_21-40-56.jpg
[2026-07-25 11:21:37] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_11-21-37.jpg
[2026-07-25 11:23:05] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_11-23-05.jpg
[2026-07-25 11:24:47] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_11-24-47.jpg
[2026-07-25 11:41:42] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_11-41-42.jpg
[2026-07-25 11:42:15] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: saida_cam02_25-07-2026_11-42-15.jpg
[2026-07-25 11:42:44] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: saida_cam02_25-07-2026_11-42-44.jpg
[2026-07-25 11:43:16] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: saida_cam02_25-07-2026_11-43-16.jpg
[2026-07-25 15:27:55] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_15-27-55.jpg
[2026-07-25 15:31:25] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_15-31-25.jpg
[2026-07-25 15:32:28] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_15-32-28.jpg
[2026-07-25 15:34:30] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_15-34-30.jpg
[2026-07-25 15:35:00] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_15-35-00.jpg
[2026-07-25 16:00:19] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_16-00-19.jpg
[2026-07-25 16:00:47] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_16-00-47.jpg
[2026-07-25 16:01:35] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_16-01-35.jpg
[2026-07-25 16:14:51] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam02_25-07-2026_16-14-51.jpg
[2026-07-25 16:25:25] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam01_25-07-2026_16-25-25.jpg
[2026-07-25 17:03:05] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam01_25-07-2026_17-03-05.jpg
[2026-07-25 17:19:55] IP: 172.18.0.1 | Endpoint: UploadPictury (Câmera) | Status: SUCESSO | Motivo: Foto salva: entrada_cam01_25-07-2026_17-19-55.jpg
